dbn,score,travel_time,geom
16K765,4.83,44.766666666666666,POINT (-73.9324069999999978 40.6794399999999996)
25Q670,3.82,88.05,POINT (-73.8106970000000047 40.7256029999999996)
19K507,2.8,51.06666666666667,POINT (-73.8947469999999953 40.6674560000000014)
09X505,2.61,87.93333333333334,POINT (-73.9186810000000065 40.8276070000000004)
31R600,3.92,95.81666666666666,POINT (-74.0787299999999931 40.6427929999999975)
09X365,4.26,86.46666666666667,POINT (-73.9160700000000048 40.8496230000000011)
13K265,3.28,52.266666666666666,POINT (-73.9757800000000003 40.6963239999999971)
01M448,3.52,49.56666666666667,POINT (-73.9844970000000046 40.7123989999999978)
18K633,2.53,54.96666666666667,POINT (-73.8982539999999943 40.6414740000000023)
19K615,0.0,72.1,POINT (-73.8759600000000063 40.6782759999999968)
20K445,2.5,58.36666666666667,POINT (-74.0034040000000033 40.6132619999999989)
07X427,3.62,76.96666666666667,POINT (-73.9303859999999986 40.8159380000000027)
24Q236,3.64,88.81666666666666,POINT (-73.8747209999999939 40.7411219999999972)
27Q260,3.02,91.06666666666666,POINT (-73.7627949999999970 40.6020099999999999)
11X514,3.11,118.41666666666667,POINT (-73.8526939999999996 40.8878309999999985)
09X227,3.93,86.01666666666667,POINT (-73.9109100000000012 40.8404219999999967)
02M282,4.33,51.516666666666666,POINT (-74.0008509999999973 40.7114419999999981)
03M415,4.69,77.13333333333334,POINT (-73.9541420000000045 40.8022070000000028)
10X477,2.73,96.68333333333334,POINT (-73.9122559999999993 40.8771050000000002)
29Q243,2.88,100.13333333333334,POINT (-73.7457279999999997 40.6978190000000026)
25Q281,4.83,97.76666666666667,POINT (-73.8220730000000032 40.7495449999999977)
06M467,4.16,86.3,POINT (-73.9270510000000058 40.8559539999999970)
21K540,2.85,54.13333333333333,POINT (-73.9817380000000071 40.5892679999999970)
15K592,3.41,37.85,POINT (-73.9796489999999949 40.6864989999999977)
27Q400,4.21,97.33333333333333,POINT (-73.7833420000000046 40.6756329999999977)
29Q492,4.76,100.13333333333334,POINT (-73.7457279999999997 40.6978190000000026)
24Q267,4.4,66.78333333333333,POINT (-73.9366349999999954 40.7450949999999992)
02M439,4.58,53.38333333333333,POINT (-73.9915120000000002 40.7414970000000025)
10X368,3.48,94.35,POINT (-73.9098960000000034 40.8793679999999995)
13K350,1.79,52.766666666666666,POINT (-73.9850160000000017 40.6973389999999995)
27Q308,2.91,70.53333333333333,POINT (-73.8451409999999981 40.6712399999999974)
21K337,2.65,74.4,POINT (-73.9857700000000023 40.5942909999999983)
28Q350,4.34,89.13333333333334,POINT (-73.7972369999999955 40.7132179999999977)
16K688,3.04,54.9,POINT (-73.9336969999999951 40.6912739999999999)
28Q620,2.76,93.66666666666667,POINT (-73.8003690000000034 40.7153890000000018)
06M463,2.72,86.3,POINT (-73.9270510000000058 40.8559539999999970)
06M468,4.65,86.3,POINT (-73.9270510000000058 40.8559539999999970)
10X237,3.3,98.55,POINT (-73.9010990000000021 40.8759110000000021)
01M509,4.14,58.983333333333334,POINT (-73.9856450000000052 40.7205810000000028)
28Q167,3.67,75.28333333333333,POINT (-73.8566979999999944 40.7113670000000027)
08X367,3.14,101.38333333333334,POINT (-73.8565799999999939 40.8148330000000001)
17K539,3.51,37.1,POINT (-73.9585500000000025 40.6497870000000034)
24Q455,2.48,88.81666666666666,POINT (-73.8747209999999939 40.7411219999999972)
27Q475,2.47,77.16666666666667,POINT (-73.8336809999999986 40.6958879999999965)
07X548,3.09,82.9,POINT (-73.9238289999999978 40.8223100000000017)
23K493,2.84,48.733333333333334,POINT (-73.9132730000000038 40.6741030000000023)
02M545,3.47,46.43333333333333,POINT (-73.9893370000000061 40.7167779999999979)
15K667,4.36,40.983333333333334,POINT (-74.0051969999999955 40.6557099999999991)
02M280,3.99,51.516666666666666,POINT (-74.0008509999999973 40.7114419999999981)
06M348,2.86,80.45,POINT (-73.9309480000000008 40.8489080000000016)
13K439,3.96,52.766666666666666,POINT (-73.9850160000000017 40.6973389999999995)
07X500,3.22,73.91666666666667,POINT (-73.9122399999999971 40.8154979999999981)
14K614,2.42,61.53333333333333,POINT (-73.9394070000000028 40.7052040000000019)
07X522,4.72,77.36666666666666,POINT (-73.9198669999999964 40.8182320000000018)
07X473,3.71,77.88333333333334,POINT (-73.9110299999999967 40.8182499999999990)
18K617,2.37,54.96666666666667,POINT (-73.8982539999999943 40.6414740000000023)
10X351,3.68,93.4,POINT (-73.8869100000000003 40.8821780000000032)
25Q460,2.3,87.76666666666667,POINT (-73.8278899999999965 40.7651660000000007)
30Q502,3.95,73.45,POINT (-73.9463800000000049 40.7487009999999970)
30Q445,3.89,78.85,POINT (-73.9105140000000063 40.7582299999999975)
