name,mean_income,tract
"Census Tract 134, New York County, New York",123922.63295314003,1013400
"Census Tract 135, New York County, New York",101199.07763259031,1013500
"Census Tract 136, New York County, New York",118523.0278980279,1013600
"Census Tract 137, New York County, New York",139594.07407407407,1013700
"Census Tract 138, New York County, New York",130248.68018894138,1013800
"Census Tract 139, New York County, New York",111386.04571818492,1013900
"Census Tract 140, New York County, New York",148037.20050441363,1014000
"Census Tract 142, New York County, New York",165434.19765166342,1014200
"Census Tract 143, New York County, New York",0.0,1014300
"Census Tract 144.01, New York County, New York",132407.7150239941,1014401
"Census Tract 144.02, New York County, New York",132641.30709058794,1014402
"Census Tract 145, New York County, New York",148285.27384838593,1014500
"Census Tract 146.01, New York County, New York",131509.8821740783,1014601
"Census Tract 146.02, New York County, New York",119247.98428778168,1014602
"Census Tract 147, New York County, New York",158884.56751711262,1014700
"Census Tract 148.01, New York County, New York",160998.3108108108,1014801
"Census Tract 148.02, New York County, New York",137317.00118063754,1014802
"Census Tract 149, New York County, New York",156410.9477124183,1014900
"Census Tract 150.01, New York County, New York",145877.86259541984,1015001
"Census Tract 150.02, New York County, New York",166266.2197231834,1015002
"Census Tract 151, New York County, New York",90864.76868327401,1015100
"Census Tract 152, New York County, New York",104481.86871360509,1015200
"Census Tract 153, New York County, New York",156758.20182724253,1015300
"Census Tract 154, New York County, New York",102295.08718340333,1015400
"Census Tract 155, New York County, New York",128811.53431548689,1015500
"Census Tract 156.01, New York County, New York",108125.0,1015601
"Census Tract 156.02, New York County, New York",86199.22630560928,1015602
"Census Tract 157, New York County, New York",136165.53094832483,1015700
"Census Tract 158.01, New York County, New York",150690.05328596802,1015801
"Census Tract 158.02, New York County, New York",115836.3309352518,1015802
"Census Tract 159, New York County, New York",130846.57073444215,1015900
"Census Tract 160.01, New York County, New York",184928.90995260663,1016001
"Census Tract 160.02, New York County, New York",124758.64843121481,1016002
"Census Tract 161, New York County, New York",136040.86670323642,1016100
"Census Tract 162, New York County, New York",38563.389391979304,1016200
"Census Tract 163, New York County, New York",128708.36560805577,1016300
"Census Tract 164, New York County, New York",51788.1446991404,1016400
"Census Tract 165, New York County, New York",143206.7901234568,1016500
"Census Tract 166, New York County, New York",59972.968259504705,1016600
"Census Tract 167, New York County, New York",144526.8783401446,1016700
"Census Tract 168, New York County, New York",62097.457627118645,1016800
"Census Tract 169, New York County, New York",122784.42758947618,1016900
"Census Tract 170, New York County, New York",45237.98730734361,1017000
"Census Tract 171, New York County, New York",133933.78288746407,1017100
"Census Tract 172, New York County, New York",55505.69176882662,1017200
"Census Tract 173, New York County, New York",131289.25120772948,1017300
"Census Tract 174.01, New York County, New York",48078.63501483679,1017401
"Census Tract 174.02, New York County, New York",48897.2972972973,1017402
"Census Tract 175, New York County, New York",146074.4066709429,1017500
"Census Tract 177, New York County, New York",96347.07225913621,1017700
"Census Tract 178, New York County, New York",55042.997542997546,1017800
"Census Tract 179, New York County, New York",106281.96649029982,1017900
"Census Tract 180, New York County, New York",50247.26214921287,1018000
"Census Tract 181, New York County, New York",108437.85183517226,1018100
"Census Tract 182, New York County, New York",32233.796296296296,1018200
"Census Tract 183, New York County, New York",132281.07169436864,1018300
"Census Tract 184, New York County, New York",42549.252717391304,1018400
"Census Tract 185, New York County, New York",119203.4269048487,1018500
"Census Tract 186, New York County, New York",47408.22320117474,1018600
"Census Tract 187, New York County, New York",128792.67977237454,1018700
"Census Tract 188, New York County, New York",48314.85587583148,1018800
"Census Tract 189, New York County, New York",60583.66141732284,1018900
"Census Tract 190, New York County, New York",86519.27047487957,1019000
"Census Tract 191, New York County, New York",114272.08404802745,1019100
"Census Tract 192, New York County, New York",28171.278982797307,1019200
"Census Tract 193, New York County, New York",66221.90277051751,1019300
"Census Tract 194, New York County, New York",33582.80881195909,1019400
"Census Tract 195, New York County, New York",127112.5574272588,1019500
"Census Tract 196, New York County, New York",44417.7449168207,1019600
"Census Tract 197.01, New York County, New York",94792.24376731302,1019701
"Census Tract 197.02, New York County, New York",84215.78421578421,1019702
"Census Tract 198, New York County, New York",92128.95377128954,1019800
"Census Tract 199, New York County, New York",104478.9391575663,1019900
"Census Tract 200, New York County, New York",91574.78797224363,1020000
"Census Tract 201.01, New York County, New York",116654.54545454546,1020101
"Census Tract 201.02, New York County, New York",83530.97098214286,1020102
"Census Tract 203, New York County, New York",57197.8021978022,1020300
"Census Tract 205, New York County, New York",135431.3973063973,1020500
"Census Tract 206, New York County, New York",50976.03946441156,1020600
"Census Tract 207.01, New York County, New York",89971.1093990755,1020701
"Census Tract 208, New York County, New York",84355.14918190568,1020800
"Census Tract 209.01, New York County, New York",35493.662441627755,1020901
"Census Tract 210, New York County, New York",45573.7838720209,1021000
"Census Tract 211, New York County, New York",76743.4373452204,1021100
"Census Tract 212, New York County, New York",60972.49703205382,1021200
"Census Tract 213.03, New York County, New York",51739.73880597015,1021303
"Census Tract 214, New York County, New York",55426.797040169135,1021400
"Census Tract 215, New York County, New York",50894.19795221843,1021500
"Census Tract 216, New York County, New York",78986.26935436751,1021600
"Census Tract 217.03, New York County, New York",112500.0,1021703
"Census Tract 218, New York County, New York",67825.10431154381,1021800
"Census Tract 219, New York County, New York",36706.673067690834,1021900
"Census Tract 220, New York County, New York",70943.60302909526,1022000
"Census Tract 221.02, New York County, New York",69630.7072515667,1022102
"Census Tract 222, New York County, New York",74575.6880733945,1022200
"Census Tract 223.01, New York County, New York",50429.43548387097,1022301
"Census Tract 223.02, New York County, New York",39802.28758169935,1022302
"Census Tract 224, New York County, New York",48068.181818181816,1022400
"Census Tract 225, New York County, New York",57817.31317741016,1022500
"Census Tract 226, New York County, New York",63557.8426263679,1022600
"Census Tract 227, New York County, New York",71108.97145446307,1022700
"Census Tract 228, New York County, New York",60774.59016393442,1022800
"Census Tract 229, New York County, New York",57730.91030343448,1022900
"Census Tract 230, New York County, New York",53560.03882418192,1023000
"Census Tract 231, New York County, New York",62741.54135338346,1023100
"Census Tract 232, New York County, New York",40344.36352121596,1023200
"Census Tract 233, New York County, New York",69908.80869227785,1023300
"Census Tract 234, New York County, New York",52051.83585313175,1023400
"Census Tract 235.01, New York County, New York",51586.13861386139,1023501
"Census Tract 235.02, New York County, New York",44716.58711217184,1023502
"Census Tract 236, New York County, New York",41932.42343541944,1023600
"Census Tract 237, New York County, New York",57465.479651162794,1023700
"Census Tract 238.01, New York County, New York",102824.18649830014,1023801
"Census Tract 238.02, New York County, New York",128325.89285714286,1023802
"Census Tract 239, New York County, New York",47992.18031278749,1023900
"Census Tract 240, New York County, New York",0.0,1024000
"Census Tract 241, New York County, New York",61054.04089581305,1024100
"Census Tract 242, New York County, New York",38222.07958921695,1024200
"Census Tract 243.01, New York County, New York",58231.4107018763,1024301
"Census Tract 243.02, New York County, New York",28477.799227799227,1024302
"Census Tract 245, New York County, New York",49405.08580996233,1024500
"Census Tract 247, New York County, New York",57142.27807053101,1024700
"Census Tract 249, New York County, New York",50596.658711217184,1024900
"Census Tract 251, New York County, New York",47169.61852861036,1025100
"Census Tract 253, New York County, New York",54083.89963408259,1025300
"Census Tract 255, New York County, New York",62585.83690987124,1025500
"Census Tract 257, New York County, New York",102163.0615640599,1025700
"Census Tract 259, New York County, New York",80098.15585960737,1025900
"Census Tract 261, New York County, New York",47643.24324324324,1026100
"Census Tract 263, New York County, New York",47449.87901832008,1026300
"Census Tract 265, New York County, New York",78660.77865897621,1026500
"Census Tract 267, New York County, New York",58343.531468531466,1026700
"Census Tract 269, New York County, New York",48313.18681318681,1026900
"Census Tract 271, New York County, New York",70189.48056190787,1027100
"Census Tract 273, New York County, New York",88093.20669671604,1027300
"Census Tract 275, New York County, New York",108723.33548804137,1027500
"Census Tract 277, New York County, New York",40379.27107061503,1027700
"Census Tract 279, New York County, New York",54911.68996188056,1027900
"Census Tract 281, New York County, New York",116566.92634560907,1028100
"Census Tract 283, New York County, New York",58582.331925949984,1028300
"Census Tract 285, New York County, New York",41950.96942580164,1028500
"Census Tract 287, New York County, New York",64658.27338129497,1028700
"Census Tract 291, New York County, New York",49675.53974484789,1029100
"Census Tract 293, New York County, New York",48263.91231028668,1029300
"Census Tract 295, New York County, New York",76058.59835100117,1029500
"Census Tract 297, New York County, New York",0.0,1029700
"Census Tract 299, New York County, New York",31732.839838492597,1029900
"Census Tract 303, New York County, New York",72175.41436464088,1030300
"Census Tract 307, New York County, New York",84990.46840958606,1030700
"Census Tract 309, New York County, New York",43397.3623853211,1030900
"Census Tract 311, New York County, New York",0.0,1031100
"Census Tract 317.03, New York County, New York",165119.0181006695,1031703
"Census Tract 317.04, New York County, New York",166010.0413467218,1031704
"Census Tract 319, New York County, New York",0.0,1031900
"Census Tract 1, Bronx County, New York",0.0,2000100
"Census Tract 2, Bronx County, New York",81149.51164537942,2000200
"Census Tract 4, Bronx County, New York",83080.21806853583,2000400
