name,median_income,tract
"Census Tract 102, New York County, New York",175000.0,1010200
"Census Tract 103, New York County, New York",87500.0,1010300
"Census Tract 104, New York County, New York",112500.0,1010400
"Census Tract 106.01, New York County, New York",112500.0,1010601
"Census Tract 106.02, New York County, New York",112500.0,1010602
"Census Tract 108, New York County, New York",112500.0,1010800
"Census Tract 109, New York County, New York",112500.0,1010900
"Census Tract 110, New York County, New York",112500.0,1011000
"Census Tract 111, New York County, New York",112500.0,1011100
"Census Tract 112.01, New York County, New York",137500.0,1011201
"Census Tract 112.02, New York County, New York",175000.0,1011202
"Census Tract 112.03, New York County, New York",112500.0,1011203
"Census Tract 113, New York County, New York",87500.0,1011300
"Census Tract 114.01, New York County, New York",175000.0,1011401
"Census Tract 114.02, New York County, New York",175000.0,1011402
"Census Tract 115, New York County, New York",87500.0,1011500
"Census Tract 116, New York County, New York",67500.0,1011600
"Census Tract 117, New York County, New York",112500.0,1011700
"Census Tract 118, New York County, New York",137500.0,1011800
"Census Tract 119, New York County, New York",12500.0,1011900
"Census Tract 120, New York County, New York",175000.0,1012000
"Census Tract 121, New York County, New York",67500.0,1012100
"Census Tract 122, New York County, New York",175000.0,1012200
"Census Tract 124, New York County, New York",112500.0,1012400
"Census Tract 125, New York County, New York",175000.0,1012500
"Census Tract 126, New York County, New York",112500.0,1012600
"Census Tract 127, New York County, New York",67500.0,1012700
"Census Tract 128, New York County, New York",175000.0,1012800
"Census Tract 129, New York County, New York",112500.0,1012900
"Census Tract 130, New York County, New York",175000.0,1013000
"Census Tract 131, New York County, New York",87500.0,1013100
"Census Tract 132, New York County, New York",87500.0,1013200
"Census Tract 133, New York County, New York",87500.0,1013300
"Census Tract 134, New York County, New York",112500.0,1013400
"Census Tract 135, New York County, New York",67500.0,1013500
"Census Tract 136, New York County, New York",112500.0,1013600
"Census Tract 137, New York County, New York",137500.0,1013700
"Census Tract 138, New York County, New York",112500.0,1013800
"Census Tract 139, New York County, New York",87500.0,1013900
"Census Tract 140, New York County, New York",112500.0,1014000
"Census Tract 142, New York County, New York",250000.0,1014200
"Census Tract 143, New York County, New York",0.0,1014300
"Census Tract 144.01, New York County, New York",112500.0,1014401
"Census Tract 144.02, New York County, New York",112500.0,1014402
"Census Tract 145, New York County, New York",175000.0,1014500
"Census Tract 146.01, New York County, New York",112500.0,1014601
"Census Tract 146.02, New York County, New York",87500.0,1014602
"Census Tract 147, New York County, New York",175000.0,1014700
"Census Tract 148.01, New York County, New York",175000.0,1014801
"Census Tract 148.02, New York County, New York",137500.0,1014802
"Census Tract 149, New York County, New York",175000.0,1014900
"Census Tract 150.01, New York County, New York",137500.0,1015001
"Census Tract 150.02, New York County, New York",175000.0,1015002
"Census Tract 151, New York County, New York",55000.0,1015100
"Census Tract 152, New York County, New York",67500.0,1015200
"Census Tract 153, New York County, New York",175000.0,1015300
